tick,pc1,pc2
HCM,0.22990925849114632,0.15100471091342868
HZNP,-0.09012692960917865,0.14720249446173075
ICPT,-0.1005203696853334,-0.11392001837059663
ILMN,-0.14872033928495396,0.14293534764045532
IMGN,-0.030951109417133187,-0.18616821316364154
IMMU,-0.04065705779374116,-0.16119801666380737
INCY,-0.2581212082063726,0.1654581384457759
INO,0.14635677339388256,0.04031176850416588
INSM,-0.19063703795963372,-0.16558522015046828
INVA,0.06652549160195076,0.014189791309561864
IONS,-0.25119226750563073,0.07387821370826424
IOVA,-0.04288608050952284,-0.13618072278913138
IRWD,-0.0855863715381065,-0.07495938019802893
ITCI,0.07269645749058432,-0.12074910477262668
JAZZ,-0.059878374271870156,0.24338192789132745
KPTI,-0.03094930186143913,-0.06941794386623218
KURA,0.19902722460590597,-0.0886574325546209
LGND,-0.0797780321399647,0.0640882284938846
LMNX,0.02690792113054574,0.21461507926785783
LXRX,0.04009795556042771,0.02974914202532291
MCRB,0.14662985102214887,0.0060943492527030995
MGNX,0.12380155405704828,0.015895580865624887
MNKD,0.31578542942541543,0.041093504202528525
MNTA,-0.00335280812711031,-0.022841788097270093
MRTX,-0.03610188477351191,-0.10342745843365293
MYGN,0.12225725308338788,0.09089511769867614
MYL,0.09003159610326851,0.35429991568358465
MYOK,0.057278584669223906,-0.039049488909763404
NBIX,-0.27671116457721834,-0.06063313899075347
NKTR,-0.015268470219559668,0.05156633614516295
NSTG,0.19496873358879258,-0.1282203168812098
NTLA,-0.12365116944916965,-0.11592981607192694
NVCR,0.006123687398395513,0.022585159387432902
OMER,0.08152966504291244,-0.09454895377985724
OPK,0.10927923676444735,-0.02970014654801155
PACB,0.2358517330394873,-0.005145632787256569
PBYI,-0.06123177492684871,-0.07042087279411872
PCRX,0.007963432200443732,-0.007819818117220313
PDLI,0.00379090322074297,0.016944241691801667
PGEN,0.004565108844917649,-0.13856045748342244
PRAH,-0.012553101694933401,0.04657937910073813
PRQR,0.23791322922491126,0.08133482236046378
PRTA,-0.16973339945729574,-0.1378668183492805
PTCT,-0.07530157593554236,-0.08996898982966306
QURE,-0.03437067485678077,0.0045901757978067835
RARE,-0.2809787914972239,-0.060687692042897486
RCKT,0.032240182090454525,-0.05212333165915974
RDUS,-0.1109003283132342,-0.20853450588411923
REGN,-0.26917089898338264,0.21710703639432904
RETA,0.06082265180866848,-0.029276529185612233
RGNX,-0.07474818876445473,-0.18589634389469173
RIGL,0.04183058713722654,-0.11860319985230233
RTRX,-0.12272618084825863,-0.16193899761854527
RVNC,0.07217833600604286,-0.048798523419446585
SAGE,-0.14238183660925569,-0.11133416137411069
SGEN,-0.3087401104544932,0.0797862307461689
SGMO,-0.14577020603516655,-0.17298227381866876
SIGA,0.23059256183233834,0.14011387990537
SNY,-0.10155019023532962,0.5018930434083643
SPPI,-0.0689432360502715,-0.12626391843784338
SRPT,-0.08062548648377875,-0.0637337686777131
SUPN,-0.0007717042985598246,0.024343320874098195
SYNH,0.07669115319534249,-0.07664986161678315
SYRS,0.17994656665160585,0.08882518012748737
TBPH,0.012275491199386769,-0.20997997603819485
TECH,-0.08064368916407377,0.19067827255642852
TXMD,0.24851442448080047,-0.003770271727788045
UTHR,-0.1587338194840584,0.04606556139547148
VCYT,0.09729307271753489,-0.05041372082158879
VNDA,-0.07338443979589372,-0.16602869354013797
VRTX,-0.35748941419322694,0.21270101198986177
VYGR,-0.002251958912427323,-0.045768820786112864
WVE,0.1415902166182149,0.15611540576392818
XBIT,0.2588236940931021,-0.012291667552702308
XLRN,-0.17681131630588848,-0.09472078216189735
XNCR,-0.0846686752009638,-0.04761705540224301
ZGNX,0.038134996232089165,-0.06343374971215242
